"Gemeenten 2021 onbewerkte Iv3-data"
""
"";"";""
"";"";"Onderwerp";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing"
"";"";"Categorie";"L1.1 Salarissen en sociale lasten";"L2.1 Belastingen";"L3.1 Grond";"L3.2 Duurzame goederen";"L3.3 Pachten";"L3.4.1 Sociale uitkeringen in natura";"L3.5.1 Ingeleend personeel";"L3.8 Overige goederen en diensten";"L4.1.1 Sociale uitkeringen in geld";"L4.2 Subsidies";"L4.3.1 Inkomensoverdrachten - Rijk";"L4.3.2 Inkomensoverdrachten - gemeenten";"L4.3.3 Inkomensoverdrachten - gemeensc..";"L4.3.4 Inkomensoverdrachten - provincies";"L4.3.5 Inkomensoverdrachten - watersch..";"L4.3.6 Inkomensoverdrachten - ov overh..";"L4.3.7 Inkomensoverdrachten - Europese..";"L4.3.8 Inkomensoverdrachten - overige ..";"L4.3.9 Inkomensoverdrachten - onverdeeld";"L4.4.1 Kapitaaloverdrachten - Rijk";"L4.4.2 Kapitaaloverdrachten - gemeenten";"L4.4.3 Kapitaaloverdrachten - gemeensc..";"L4.4.4 Kapitaaloverdrachten - provincies";"L4.4.5 Kapitaaloverdrachten - watersch..";"L4.4.6 Kapitaaloverdrachten - ov overh..";"L4.4.7 Kapitaaloverdrachten - Europese..";"L4.4.8 Kapitaaloverdrachten - overige ..";"L4.4.9 Kapitaaloverdrachten - onverdeeld";"L5.1 Rente";"L6.1 Financiële transacties";"L7.1 Mutatie reserves";"L7.2 Mutatie voorzieningen";"L7.3 Afschrijvingen";"L7.4 Toegerekende reële en bespaarde r..";"L7.5 Overige verrekeningen"
"Gemeenten";"Verslagsoort";"Taakveld/balanspost";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Aalsmeer";"Begroting";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aalsmeer";"Begroting";"4.2 Onderwijshuisvesting";"0";"80";"0";"0";"0";"0";"0";"196";"0";"0";"0";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"1080";"0";"0"
"Aalsmeer";"Begroting";"4.3 Onderwijsbeleid en leerlingzaken";"0";"0";"0";"0";"0";"334";"0";"43";"0";"547";"0";"254";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aalsmeer";"Jaarrekening";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aalsmeer";"Jaarrekening";"4.2 Onderwijshuisvesting";"0";"87";"0";"39";"0";"0";"0";"389";"0";"0";"0";"82";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"1406";"0";"0"
"Aalsmeer";"Jaarrekening";"4.3 Onderwijsbeleid en leerlingzaken";"0";"0";"0";"0";"0";"519";"0";"38";"0";"431";"0";"256";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alkmaar";"Begroting";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alkmaar";"Begroting";"4.2 Onderwijshuisvesting";"0";"620";"0";"0";"88";"0";"0";"1286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2389";"804";"0"
"Alkmaar";"Begroting";"4.3 Onderwijsbeleid en leerlingzaken";"1786";"230";"0";"0";"0";"763";"163";"1365";"0";"2425";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1779";"635";"0"
